uid,code,description
t4q2KVJZNK3,N644,N644 Mastodynia
gno9yASJo33,O07,O07 Failed attempted abortion
KroyS6MJRUR,O623,O623 Precipitate labour
D1r5gHVADbx,O40,O40 Polyhydramnios
H8gbFgmAYB6,O909,O909 Complication of the puerperium unspecified
bBvjNygJuEn,Q210,Q210 Ventricular septal defect
LjNdcoQh4vb,Q35,Q35 Cleft palate
mr5R1wlSalB,R820,R820 Chyluria
cB40eL3eXqc,S39,S39 Other and unspecified injuries of abdomen lower back and pelvis
EdM338WIiNR,T149,T149 Injury unspecified
jpeHGcxzRyE,T281,T281 Burn of oesophagus
GN5lmxtXZ8F,T370,T370 Sulfonamides
Axsjpq6t8Zx,V011,V011 Pedestrian injured in collision with pedal cycle traffic accident
BKRSBRkUgMd,V21,V21 Motorcycle rider injured in collision with pedal cycle
UST7w2gBDlw,V30,V30 Occupant of threewheeled motor vehicle injured in collision with pedestrian or animal
u06cwK0IsFJ,V334,V334 Occupant of threewheeled motor vehicle injured in collision with car pickup truck or van while boarding or alighting
FTuBGQlAMQc,V50,V50 Occupant of pickup truck or van injured in collision with pedestrian or animal
zKlYTvjsPY9,W428,W428 Exposure to noise other specified places
wS6oWLT1kC6,W057,W057 Fall involving wheelchair farm
BGefoInGrkj,V793,V793 Bus occupant any injured in unspecified nontraffic accident
WAxc5kCvf5f,V952,V952 Accident to other private fixedwing aircraft injuring occupant
LpqBrGEJRVr,W07,W07 Fall involving chair
kSQrJT9rNT0,W17,W17 Other fall from one level to another
zlH5I20al9p,W39,W39 Discharge of firework
e3yD2pj4Jfx,W857,W857 Exposure to electric transmission lines farm
rbiIL9WWNwv,X35,X35 Victim of volcanic eruption
iZuCeaqGR94,W939,W939 Exposure to excessive cold of manmade origin unspecified place
omTAN5DXO84,X31,X31 Exposure to excessive natural cold
c0f53uiZjcu,X355,X355 Victim of volcanic eruption trade and service area
AgzePbYj48y,X574,X574 Unspecified privation street and highway
QTxdnn1u6yT,X51,X51 Travel and motion
warBcC9gUEJ,X538,X538 Lack of food other specified places
vhW8Q8ii6BW,X633,X633 Intentional selfpoisoning by and exposure to other drugs acting on the autonomic nervous system sports and athletics area
xecQdBylPVp,X663,X663 Intentional selfpoisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours sports and athletics area
JmbZCkUBbAp,X813,X813 Intentional selfharm by jumping or lying before moving object sports and athletics area
vE5mMUTYbXj,X90,X90 Assault by unspecified chemical or noxious substance
qkkirAJ1YkI,X96,X96 Assault by explosive material
PWIZCrPsKez,Y226,Y226 Handgun discharge undetermined intent industrial and construction area
PQhqf5Bbtwq,Y227,Y227 Handgun discharge undetermined intent farm
UANCWxd1q0y,Y35,Y35 Legal intervention
VEMsQocs0nT,Y535,Y535 Digestants
Kpo1fvbs7lp,Y98,Y98 Lifestylerelated condition
Hth5QjTj9gc,Z139,Z139 Special screening examination unspecified
idsoLypR9lc,Z412,Z412 Routine and ritual circumcision
VXkkROzmtUo,Z720,Z720 Tobacco use
FIZYXYUGwHw,Z935,Z935 Cystostomy status
Y1q85JbZMho,C210,C210 Anus unspecified
D6iiJw0pOjf,C754,C754 Carotid body
n6odPsVS23Y,C830,C830 Small cell diffuse
E9b70n8r5JM,D474,D474 Osteomyelofibrosis
DstJzBpquZr,D694,D694 Other primary thrombocytopenia
TjHpwJfnb8s,F300,F300 Hypomania
twkvXXSsUdI,F32,F32 Depressive episode
K1Go3UKVJuq,G934,G934 Encephalopathy unspecified
VkFTIk12arJ,H05,H05 Disorders of orbit
xIQekjOb24c,I720,I720 Aneurysm of carotid artery
FVP9A0LI74a,I95,I95 Hypotension
K7Fv7Wp79cN,L990,L990 Amyloidosis of skin
m0pav03un5K,M252,M252 Flail joint
dEr14WrRGhk,N483,N483 Priapism
Wm8k4sspbPc,O002,O002 Ovarian pregnancy
xaSTn05jMKY,O15,O15 Eclampsia
dETmxjb15WP,P270,P270 WilsonMikity syndrome
xgbuC7cf3Uv,Q000,Q000 Anencephaly
zkmCvU2vDOm,Q070,Q070 ArnoldChiari syndrome
IP9OhYJr0me,Q183,Q183 Webbing of neck
Yc2h3qYF03G,Q673,Q673 Plagiocephaly
S69lKf4Of8z,S057,S057 Avulsion of eye
dFk5WGkyDN8,S250,S250 Injury of thoracic aorta
rhLVbXyGpY6,S500,S500 Contusion of elbow
e9esk3mDKMx,T33,T33 Superficial frostbite
C8rwFQBZMPs,T382,T382 Antithyroid drugs
RbNC3SYvgmM,T60,T60 Toxic effect of pesticides
FF7PkQyJaTu,W140,W140 Fall from tree home
XDnNA1PUh0w,W42,W42 Exposure to noise
ZXUIW0DA9eO,W53,W53 Bitten by rat
jbblR20b9pk,Y061,Y061 By parent
xWiGkRB7hvP,Z506,Z506 Orthoptic training
oU94JEYF2Wm,Z580,Z580 Exposure to noise
sOEL77apGd4,A512,A512 Primary syphilis of other sites
N5BjXvIatwF,D384,D384 Thymus
W1JcNOxtBAr,D486,D486 Breast
F9e0guw3Z9W,F653,F653 Voyeurism
B0O2F9Af5OB,F654,F654 Paedophilia
Q20Azr2gVgo,F655,F655 Sadomasochism
T6sTlWvvYh9,K060,K060 Gingival recession
EL92ViZ5PAb,D104,D104 Tonsil
q1NRwR7lE0m,A192,A192 Acute miliary tuberculosis unspecified
R13pKNeZDWV,A202,A202 Pneumonic plague
PGLk6FGvtKB,E32,E32 Diseases of thymus
an3Ht9Qx0DX,A240,A240 Glanders
XDY9JTH5Ui2,A39,A39 Meningococcal infection
dzkCOn6l2eO,F840,F840 Childhood autism
PuXlrZAMZld,H042,H042 Epiphora
m4NSb7te3fM,A418,A418 Other specified septicaemia
PODACSKcuC8,A440,A440 Systemic bartonellosis
qCX5i1d6htk,A51,A51 Early syphilis
bEOX8GlbI6d,A513,A513 Secondary syphilis of skin and mucous membranes
kTLXnZnEG6s,A514,A514 Other secondary syphilis
GjfosuxMMc2,M41,M41 Scoliosis
LI5uRRt7krv,M54,M54 Dorsalgia
NMjm1vybJnR,A668,A668 Latent yaws
gmMW2vJm9Bh,L108,L108 Other pemphigus
PzwpsraFY3w,N136,N136 Pyonephrosis
Ol8e4j1tN6m,O30,O30 Multiple gestation
ZFvvBtq3yog,O43,O43 Placental disorders
AmRoEAUKaxk,Q245,Q245 Malformation of coronary vessels
lP1d4Dm8btC,Q843,Q843 Anonychia
Hr6ZqSVasIZ,Y403,Y403 Macrolides
jRUsaCpqxbY,S52,S52 Fracture of forearm
MXQinme2INQ,A515,A515 Early syphilis latent
rGiuKbAcCn2,Y404,Y404 Tetracyclines
hRyOp0cnpFe,B15,B15 Acute hepatitis A
GK0YiUCZWhw,B182,B182 Chronic viral hepatitis C
CEYjFXA4V4S,A519,A519 Early syphilis unspecified
xfyINnr7fPI,A52,A52 Late syphilis
qY1UYXlWOsX,Y405,Y405 Aminoglycosides
bX6Y7vzg2cz,Y406,Y406 Rifamycins
dPYXoi2w2cF,A520,A520 Cardiovascular syphilis
b1GvtDNGtrt,A521,A521 Symptomatic neurosyphilis
fxiwrpgcNoN,W74,W74 Unspecified drowning and submersion
eyxBeRP9F85,A522,A522 Asymptomatic neurosyphilis
qhXPZBW5VOv,A523,A523 Neurosyphilis unspecified
qmChXlFx7hA,A527,A527 Other symptomatic late syphilis
pyg9BltbZUO,X510,X510 Travel and motion home
xwngcw7bZm8,A528,A528 Late syphilis latent
l66jvbuWmFy,B395,B395 Histoplasmosis duboisii
m1WE7y9XOHU,B432,B432 Subcutaneous phaeomycotic abscess and cyst
QC5NRjsyOfd,A529,A529 Late syphilis unspecified
elemr4fj5TT,A53,A53 Other and unspecified syphilis
SblzbREouv5,Z47,Z47 Other orthopaedic followup care
fpBrk4GEnSv,A530,A530 Latent syphilis unspecified as early or late
w4TiuVSzFs4,A539,A539 Syphilis unspecified
d73fgU9u6EW,A051,A051 Botulism
rmYsyizWAJx,A00,A00 Cholera
IwbX7Ubzu57,A000,A000 Cholera due to Vibrio cholerae 01 biovar cholerae
ZzNGpeKIlMb,C021,C021 Border of tongue
Fg4hq7La1MN,A001,A001 Cholera due to Vibrio cholerae 01 biovar eltor
UYhscH2W06r,A009,A009 Cholera unspecified
oSoQ1hnJzhy,A01,A01 Typhoid and paratyphoid fevers
SCgrBAs4p16,A010,A010 Typhoid fever
q9uqSbwlMqN,A011,A011 Paratyphoid fever A
wBhVIwLCwPa,A012,A012 Paratyphoid fever B
syeHrMMeNzE,A013,A013 Paratyphoid fever C
prMKA8cPHhp,A014,A014 Paratyphoid fever unspecified
cvboI7F6pO8,A02,A02 Other salmonella infections
PVPHcQldgWj,A020,A020 Salmonella enteritis
uqBOj6SRpl8,A021,A021 Salmonella septicaemia
WPGa1gMi3II,A022,A022 Localized salmonella infections
nhgsSvckGWS,A028,A028 Other specified salmonella infections
LD7hmrg4BtS,A029,A029 Salmonella infection unspecified
SagpQriQ8RK,A03,A03 Shigellosis
mf0DT7CnJ43,A030,A030 Shigellosis due to Shigella dysenteriae
brF1Ne2dHjp,C677,C677 Urachus
QEAxPSQgzYK,A031,A031 Shigellosis due to Shigella flexneri
RmQERCWW36H,A032,A032 Shigellosis due to Shigella boydii
iaJLhFR76Tv,A033,A033 Shigellosis due to Shigella sonnei
VDXedcJFTp9,A039,A039 Shigellosis unspecified
vQqUzYubuoJ,A04,A04 Other bacterial intestinal infections
U3kN6ItmMRg,A040,A040 Enteropathogenic Escherichia coli infection
PtyIkjFOw37,A041,A041 Enterotoxigenic Escherichia coli infection
j2zXWQ3TBeR,A042,A042 Enteroinvasive Escherichia coli infection
q0CtQzqdZS5,A043,A043 Enterohaemorrhagic Escherichia coli infection
I8SyKFw0TsL,A044,A044 Other intestinal Escherichia coli infections
JjG9YSROTmd,A045,A045 Campylobacter enteritis
FwpO3ntRkCR,A046,A046 Enteritis due to Yersinia enterocolitica
eJh7roYh3u4,A047,A047 Enterocolitis due to Clostridium difficile
akNEIWfUhr5,A048,A048 Other specified bacterial intestinal infections
upRc2iowCNl,A049,A049 Bacterial intestinal infection unspecified
x8lDQnXnx5d,A05,A05 Other bacterial foodborne intoxications
DRAWlNTj9IZ,A050,A050 Foodborne staphylococcal intoxication
dUxkiDVNgOc,A052,A052 Foodborne Clostridium perfringens Clostridium welchii intoxication
Ft4cUTbuDHJ,A053,A053 Foodborne Vibrio parahaemolyticus intoxication
awFqIoN5pPT,A054,A054 Foodborne Bacillus cereus intoxication
lxjBIXEzfQ6,A058,A058 Other specified bacterial foodborne intoxications
rWsjRV24zoK,A059,A059 Bacterial foodborne intoxication unspecified
LYkJBQHxrtK,A06,A06 Amoebiasis
wt1WLTUc3Om,A060,A060 Acute amoebic dysentery
UBI5aTdi4uC,A061,A061 Chronic intestinal amoebiasis
HotiXFe8ucQ,A062,A062 Amoebic nondysenteric colitis
r8OnmLWogB6,A063,A063 Amoeboma of intestine
PgZRRcP2HAT,A064,A064 Amoebic liver abscess
sh4SRHPZKKa,A065,A065 Amoebic lung abscess
E06up7iFieT,A066,A066 Amoebic brain abscess
H5WEShMA4NW,A067,A067 Cutaneous amoebiasis
vovLstQwsPM,A068,A068 Amoebic infection of other sites
Fysl5n5iia5,A069,A069 Amoebiasis unspecified
X12wGfqUoD1,A07,A07 Other protozoal intestinal diseases
leoPXONQsBT,A070,A070 Balantidiasis
WaYpmlu8zGO,A071,A071 Giardiasis lambliasis
UdLWF9pe8S8,A072,A072 Cryptosporidiosis
y69sZqdx5qy,A073,A073 Isosporiasis
Frz8cLdRUEf,A078,A078 Other specified protozoal intestinal diseases
g9gw837eB7P,A079,A079 Protozoal intestinal disease unspecified
aXjYQp34aRU,A08,A08 Viral and other specified intestinal infections
arZSWPm7dtF,A081,A081 Acute gastroenteropathy due to Norwalk agent
l2pZmrzoVEZ,A082,A082 Adenoviral enteritis
GIcL57evNKB,A083,A083 Other viral enteritis
yN2wZWcaUGE,A084,A084 Viral intestinal infection unspecified
dY1rxfa2U5x,A085,A085 Other specified intestinal infections
ophgpETIf6x,A09,A09 Diarrhoea and gastroenteritis of presumed infectious origin
WCxRNvwkInj,A090,A090 Other and unspecified gastroenteritis and colitis of infectious origin
Vuh0dAI8LMP,A099,A099 Gastroenteritis and colitis of unspecified origin
qAJAgM1HA5Z,A15,A15 Respiratory tuberculosis bacteriologically and histologically confirmed
hKOvYyoDINV,A150,A150 Tuberculosis of lung confirmed by sputum microscopy with or without culture
AuFvlN76u0d,A151,A151 Tuberculosis of lung confirmed by culture only
n43j2rbO4CE,A152,A152 Tuberculosis of lung confirmed histologically
gQcesjYFzfH,A153,A153 Tuberculosis of lung confirmed by unspecified means
vVqm3CrHHlj,A154,A154 Tuberculosis of intrathoracic lymph nodes confirmed bacteriologically and histologically
Ax0Iy5JD6tw,A155,A155 Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically
qSreWzGgvEx,A156,A156 Tuberculous pleurisy confirmed bacteriologically and histologically
oUro6Rdjl5k,A238,A238 Other brucellosis
ldcY75BQO9y,A157,A157 Primary respiratory tuberculosis confirmed bacteriologically and histologically
XimGIdI3oPi,A158,A158 Other respiratory tuberculosis confirmed bacteriologically and histologically
Jf9j2ZhkR9T,A159,A159 Respiratory tuberculosis unspecified confirmed bacteriologically and histologically
OvoXusDhtM7,A16,A16 Respiratory tuberculosis not confirmed bacteriologically or histologically
zqcbymAy46S,A160,A160 Tuberculosis of lung bacteriologically and histologically negative
AHpvDg0nzYl,A268,A268 Other forms of erysipeloid
NgDr1cbDe4s,A161,A161 Tuberculosis of lung bacteriological and histological examination not done
Ecm7t3hYZya,A162,A162 Tuberculosis of lung without mention of bacteriological or histological confirmation
lC8LW0Jj7jC,A163,A163 Tuberculosis of intrathoracic lymph nodes without mention of bacteriological or histological confirmation
j1jG5a5Rbib,A164,A164 Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation
meBjNtNDBjg,A165,A165 Tuberculous pleurisy without mention of bacteriological or histological confirmation
rvD4VdWPw7Q,A279,A279 Leptospirosis unspecified
eqZWC7Yar6I,A167,A167 Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
B4hPl37JfjS,A168,A168 Other respiratory tuberculosis without mention of bacteriological or histological confirmation
kPyNy9xQymY,A169,A169 Respiratory tuberculosis unspecified without mention of bacteriological or histological confirmation
CWUFp280Vw4,A17,A17 Tuberculosis of nervous system
LN3VWVqtCpw,A170,A170 Tuberculous meningitis
wQXYfUDbryH,A171,A171 Meningeal tuberculoma
FaoAifa2TbI,A178,A178 Other tuberculosis of nervous system
spGBwHgNYiV,A179,A179 Tuberculosis of nervous system unspecified
QNqfBPmfPnm,A18,A18 Tuberculosis of other organs
YuEWEQRB4RR,A180,A180 Tuberculosis of bones and joints
eRPH5bczPsq,A181,A181 Tuberculosis of genitourinary system
ZyQtIvIWm9L,A182,A182 Tuberculous peripheral lymphadenopathy
BvVCWG9qQvC,A183,A183 Tuberculosis of intestines peritoneum and mesenteric glands
YVy91t6S2rP,A184,A184 Tuberculosis of skin and subcutaneous tissue
cB068aM71bz,A185,A185 Tuberculosis of eye
tXPC5n1YS8L,A186,A186 Tuberculosis of ear
zeu1ms0gHbY,A187,A187 Tuberculosis of adrenal glands
p42HeqzDrTw,A188,A188 Tuberculosis of other specified organs
sXpg2TaDIiD,A19,A19 Miliary tuberculosis
MVvUKdYqASg,A190,A190 Acute miliary tuberculosis of a single specified site
rQqvMEfuDUs,A191,A191 Acute miliary tuberculosis of multiple sites
mcaCoMABjgO,A198,A198 Other miliary tuberculosis
PZmcIaTKYH4,A199,A199 Miliary tuberculosis unspecified
PXauVejCKkH,A20,A20 Plague
i5oM9sMq339,A200,A200 Bubonic plague
BQmtwidWFm0,A201,A201 Cellulocutaneous plague
kirtIh3ZLNW,A203,A203 Plague meningitis
Osx5EDbHVjr,A207,A207 Septicaemic plague
w9GzV77BJsA,A208,A208 Other forms of plague
Y3biA03YoXH,A209,A209 Plague unspecified
urifNTEaWmn,A21,A21 Tularaemia
lFIzKb5NXt8,A210,A210 Ulceroglandular tularaemia
DH3RyDwfuvu,A211,A211 Oculoglandular tularaemia
PXZotm4SiGf,A212,A212 Pulmonary tularaemia
cGtwKSKOlae,A213,A213 Gastrointestinal tularaemia
TO2oASYRc9s,A217,A217 Generalized tularaemia
RlhS8RMseq3,A218,A218 Other forms of tularaemia
zJX05ImcjV7,A219,A219 Tularaemia unspecified
Ky6YrZ9LrSp,A22,A22 Anthrax
Gsg59ZEZDVR,A220,A220 Cutaneous anthrax
JDSj7NA6k7y,A221,A221 Pulmonary anthrax
Y2jmxmzejAv,A222,A222 Gastrointestinal anthrax
tCsDpblhHn0,A227,A227 Anthrax septicaemia
ZDRiNpe8sGV,A228,A228 Other forms of anthrax
p6w0QdXKbif,A229,A229 Anthrax unspecified
HQ2bj20fcEB,A23,A23 Brucellosis
jPLMvjPSXOL,A230,A230 Brucellosis due to Brucella melitensis
j8ClzQlbwPI,A231,A231 Brucellosis due to Brucella abortus
A76SvmkPPZT,A232,A232 Brucellosis due to Brucella suis
dj6POZjOIJ2,A233,A233 Brucellosis due to Brucella canis
r1YG746kZ5L,A239,A239 Brucellosis unspecified
Fpin0qK97ZY,A24,A24 Glanders and melioidosis
hyT57g9rEMr,A241,A241 Acute and fulminating melioidosis
z22a9rVTeh3,A242,A242 Subacute and chronic melioidosis
T98mtjP2F0J,A243,A243 Other melioidosis
WHZiaOBmjxb,A244,A244 Melioidosis unspecified
YYaLTuLvjRg,A25,A25 Ratbite fevers
bs3l0KeuZPJ,A250,A250 Spirillosis
oD6BS8k78fX,A251,A251 Streptobacillosis
RUyiXBPjjGA,A259,A259 Ratbite fever unspecified
CSFmi1ptmvK,A26,A26 Erysipeloid
ptCFvTTwD5c,A260,A260 Cutaneous erysipeloid
sU3FZmKh2Dv,A267,A267 Erysipelothrix septicaemia
IiNQTUuFdKD,A269,A269 Erysipeloid unspecified
H9cmcAIZMSt,A27,A27 Leptospirosis
Z5qMBTRDY5M,A270,A270 Leptospirosis icterohaemorrhagica
RUGDS0jlfWA,A278,A278 Other forms of leptospirosis
UFrIJQEggyo,A28,A28 Other zoonotic bacterial diseases NEC
cU38roBNt5Z,A280,A280 Pasteurellosis
Ux2dAzzxhK6,A281,A281 Catscratch disease
tiWfv1F9Z9q,A282,A282 Extraintestinal yersiniosis
ye2HkVJ9nW2,A288,A288 Other specified zoonotic bacterial diseases NEC
SPKwZWeAIhF,A289,A289 Zoonotic bacterial disease unspecified
hMQNKqRPRxI,A30,A30 Leprosy Hansens disease
PV1FW5VsKU8,A300,A300 Indeterminate leprosy
IZOOK4uKTJ4,A301,A301 Tuberculoid leprosy
kOidvdHLIl2,A302,A302 Borderline tuberculoid leprosy
cIudbTxTHxy,A303,A303 Borderline leprosy
Uhg6BhucdAA,A304,A304 Borderline lepromatous leprosy
F9kSZRMDqza,A305,A305 Lepromatous leprosy
cBG52Ilvx2M,A308,A308 Other forms of leprosy
A7vJ9DwMHtt,A309,A309 Leprosy unspecified
h4MlHVbR9PI,A31,A31 Infection due to other mycobacteria
NYQcDGcOTo9,A310,A310 Pulmonary mycobacterial infection
Ks5KcM476P4,A311,A311 Cutaneous mycobacterial infection
MTd8Lh6C5Hv,A318,A318 Other mycobacterial infections
aV3idX5veQ4,A319,A319 Mycobacterial infection unspecified
Rm3X9c8tO9w,A32,A32 Listeriosis
jyhEnMpOKWv,A320,A320 Cutaneous listeriosis
p2TbblrqNGp,A321,A321 Listerial meningitis and meningoencephalitis
tYL9KdfriTf,A327,A327 Listerial septicaemia
h2fTn5vB4hP,A328,A328 Other forms of listeriosis
MwDU8r9ZlzV,A329,A329 Listeriosis unspecified
Kou4cOVTTs4,A33,A33 Tetanus neonatorum
UFID7zC0YuK,A34,A34 Obstetrical tetanus
xHA9aphUqKg,A35,A35 Other tetanus
noVyHZm8cZt,A36,A36 Diphtheria
dy1SPJS3gDp,A360,A360 Pharyngeal diphtheria
AbjjFzvFzsL,A361,A361 Nasopharyngeal diphtheria
xw9pBrBCpKQ,A362,A362 Laryngeal diphtheria
Rqd8XKDgtjU,A363,A363 Cutaneous diphtheria
OYFnw6ghaXR,A368,A368 Other diphtheria
VOMrPrLilBT,A369,A369 Diphtheria unspecified
hN9jhgwiJk6,A37,A37 Whooping cough
tB4vmGFv09b,A370,A370 Whooping cough due to Bordetella pertussis
BaK3Peph3kv,A371,A371 Whooping cough due to Bordetella parapertussis
k0VB8t0xo8Q,A378,A378 Whooping cough due to other Bordetella species
crFYmT3wcL6,A379,A379 Whooping cough unspecified
P8iXuI7a5q6,A38,A38 Scarlet fever
oVRI7D1dQSt,A390,A390 Meningococcal meningitis
Z5dmexHunfB,A391,A391 WaterhouseFriderichsen syndrome
sK4XAZpB8FW,A392,A392 Acute meningococcaemia
RdVBhjwBi2h,A393,A393 Chronic meningococcaemia
tHUbhltU87i,A394,A394 Meningococcaemia unspecified
LbRZj4ZC7Wl,A395,A395 Meningococcal heart disease
f5KLIX8m19k,A398,A398 Other meningococcal infections
FqjJZSlIfpu,A399,A399 Meningococcal infection unspecified
qubEs37vRbu,A40,A40 Streptococcal septicaemia
khWtZGExTBX,A400,A400 Septicaemia due to streptococcus group A
yzMe1dcFrKL,A401,A401 Septicaemia due to streptococcus group B
IukUOj79p0s,A402,A402 Septicaemia due to streptococcus group D
iDUNN0HZ87u,A403,A403 Septicaemia due to Streptococcus pneumoniae
V0LwRx53PTJ,A408,A408 Other streptococcal septicaemia
hLGIifLQIpc,A409,A409 Streptococcal septicaemia unspecified
CnhJ28OOlTC,A41,A41 Other septicaemia
Q00MT0oMCwj,A410,A410 Septicaemia due to Staphylococcus aureus
i9P5bHsRT14,A411,A411 Septicaemia due to other specified staphylococcus
zu1btk5uSNV,B260,B260 Mumps orchitis
GZkwGznarEV,A412,A412 Septicaemia due to unspecified staphylococcus
rd8N4vrIBsB,A413,A413 Septicaemia due to Haemophilus influenzae
AyvcSkpqxd5,A414,A414 Septicaemia due to anaerobes
iAYdn1Fh7Hv,A415,A415 Septicaemia due to other Gramnegative organisms
vCqkAIxA1U2,A419,A419 Septicaemia unspecified
t7VLl5smfT7,A42,A42 Actinomycosis
q3rAKvxJeta,A420,A420 Pulmonary actinomycosis
ea7AP9ED4n0,A421,A421 Abdominal actinomycosis
VVm2WPalse8,A422,A422 Cervicofacial actinomycosis
LjFCKtVmZDq,A427,A427 Actinomycotic septicaemia
WRdw5UY2N1P,A428,A428 Other forms of actinomycosis
yoF3X0D7kVW,A429,A429 Actinomycosis unspecified
WOZ25ft11Yl,A43,A43 Nocardiosis
CRB0NlM31s3,A430,A430 Pulmonary nocardiosis
Bh5akngR2PZ,A431,A431 Cutaneous nocardiosis
Qodk33NeVCH,A438,A438 Other forms of nocardiosis
Vc2AQnUgF4R,A439,A439 Nocardiosis unspecified
KW9pg1rUGtk,A44,A44 Bartonellosis
NNRdKAR10Ze,A441,A441 Cutaneous and mucocutaneous bartonellosis
Rpg8IojKuyu,A448,A448 Other forms of bartonellosis
HAfYSv88Oyo,A449,A449 Bartonellosis unspecified
kM53AwS9uyu,A46,A46 Erysipelas
XUtYSDDeOzF,A48,A48 Other bacterial diseases NEC
jmcH2ikoZVp,A480,A480 Gas gangrene
I0zazctdFQZ,A481,A481 Legionnaires disease
seCA0yp8xFe,A482,A482 Nonpneumonic Legionnaires disease Pontiac fever
Eqq6u9dhcQf,A483,A483 Toxic shock syndrome
cwQNiGKCGCa,A484,A484 Brazilian purpuric fever
fTC4cx08c6V,A488,A488 Other specified bacterial diseases
wNgOFpRqZ1C,A49,A49 Bacterial infection of unspecified site
CF8WS1fflE1,A490,A490 Staphylococcal infection unspecified
f0TJsNz0AQa,A491,A491 Streptococcal infection unspecified
eXMTyw24PkU,A492,A492 Haemophilus influenzae infection unspecified
ceAd1KYMfea,A493,A493 Mycoplasma infection unspecified
T5Wr5hEHtN4,A498,A498 Other bacterial infections of unspecified site
p5zVKp4bsET,A499,A499 Bacterial infection unspecified
eiEdnWJfAdN,A50,A50 Congenital syphilis
UqgsM47d6ln,A500,A500 Early congenital syphilis symptomatic
NtUAGYs4vhA,A501,A501 Early congenital syphilis latent
Q5gxIktASSY,A502,A502 Early congenital syphilis unspecified
gggN2dsbkre,A503,A503 Late congenital syphilitic oculopathy
bO1XwjA6E1u,A504,A504 Late congenital neurosyphilis juvenile neurosyphilis
qKJPbho0xGZ,A505,A505 Other late congenital syphilis symptomatic
K1itF8Y7ju2,A506,A506 Late congenital syphilis latent
SJUYq86aFLX,A507,A507 Late congenital syphilis unspecified
GsyYsWwZPrE,A509,A509 Congenital syphilis unspecified
BkV8nR4W2ke,A510,A510 Primary genital syphilis
kfDefrnzj2z,A511,A511 Primary anal syphilis
